"utterance","targets"
"Can you take the average of all temperatures in the weather history data base.","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Please find the coldest temperature in the weather history data base. ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Find the hottest temperature in the database ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the correlation between temperature and feeling temperature in the database.","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Find a linear regression between humidity and temperature","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Based on the regression can you find the predicted value of humidity when temperature is 12 degrees celsius","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What's the average of temperature?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What's mean of the temperature in the data set?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the average temperature in celsius?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the lowest temperature in weather history?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the minimum temperature of all temperatures?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the coldest temperature?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the highest temperature in weather history?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the max temperature of all temperatures?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the hottest temperature?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the correlation between actual and feeling temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Is there a correlation between actual and feeling temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"COuld you find the correlation between actual and feeling temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What's the relationship between humidity and temperature?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Can you make a relationship between humidity and temperature?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"What's the linear regression of humidity on temperature?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Can you predict from the model what humidity is associated with temperature 12?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What's the predicted humidity whenm temperature is 12?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What's the predicted value of humidity when temperature is 12 degrees celsius?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the mean temperature?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Give me the mean of temperature.","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Tell me what the mean of the temperature is. ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the minimum  of temperature?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the minimum temperature entry in the dataset?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Tell me what the minimum temperature is.   ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the maximum of temperature?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the maximum temperature entry in the dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Give me the maximum of temperature.","min ( data = WeatherHistory, var1 = 'Temperature' )"
